ID,Title,Original Address,Issue
business_00013,A. Wertheim GmbH,"und 132/137, Berlin",partial_address
business_00296,Albert Mautner,"und Genussmittel Prenzlauer Allee  236, Berlin",partial_address
business_00325,Albula Grundstücksgesellschaft mbH,"Siegmundshof 16, Berlin",clean
business_00427,Alfred H. Hieronymus,"und Genussmittel Kaiserallee  111, Berlin",partial_address
business_00418,"Alfred Jacobsohn, Licht und Kraft","Licht und Kraft electrical goods Speyerer Str.  2, Berlin","business_type_removed,multiple_spaces_fixed"
business_00451,Alfred Leiser,"und 79, Berlin",partial_address
business_00555,Anghuli,,empty
business_00863,B.R.C. Helvetia e.V.,"und Genussmittel An der Wuhlheide 196, Berlin",partial_address
business_00886,Barmat,,empty
business_00923,"Behrend, Emil",,empty
business_01191,"Bernstein, Mylius","Bernstein, Mylius Dortmunder Str. 3, II.,,  Berlin","business_type_removed,multiple_spaces_fixed"
business_01235,Bewässerungsgesellschaft Palästina mbH,,empty
business_01363,"Breslauer, Albert","Albert textiles and clothing Dortmunder Str. 8, Berlin",business_type_removed
business_01448,Burkhardt Kaffee,"Burkhardt Kaffee Nahrungs- und Genussmittel Düsseldorfer Str.  16, Berlin","business_type_removed,multiple_spaces_fixed"
business_01578,Centrale für Melasseverwertung Alfred Lesser,"Siegmundshof 6, Berlin",clean
business_01660,Cigarrenhaus Bartmann,"Cigarrenhaus Bartmann Nahrungs- und Genussmittel Konstanzer Str.  2, Berlin","business_type_removed,multiple_spaces_fixed"
business_01705,Concordia-Apotheke Dr. Max Haase Inhaber Theodor Kauf,,empty
business_01737,Curt Goldstein Webwarenfabrikate,"Bundesratsufer 9, Berlin",clean
business_02011,Dora Wachtel,,empty
business_02080,"Dr. Toni Haber, Pension Westend",,empty
business_02175,Edgar Ritterband,,empty
business_02180,Edith Poppelauer,"Edith Poppelauer Nahrungs- und Genussmittel Augsburger Str.  68, Berlin","business_type_removed,multiple_spaces_fixed"
business_02302,Elsa Liedke,,empty
business_02599,Eugen Kohn,,empty
business_02612,Eugen Wendriner & Sohn,,empty
business_02689,Fanny Wasserreich,"Fanny Wasserreich Nahrungs- und Genussmittel Regensburger Str.  25, Berlin","business_type_removed,multiple_spaces_fixed"
business_02716,Feinbäckerei Grüsser,"Feinbäckerei Grüsser Nahrungs- und Genussmittel Ansbacher Str.  29, Berlin","business_type_removed,multiple_spaces_fixed"
business_02718,Feinbäckerei Wache,"Feinbäckerei Wache Nahrungs- und Genussmittel Speyerer Str.  20, Berlin","business_type_removed,multiple_spaces_fixed"
business_02719,Feinkost O. Frühauf,"Frühauf Nahrungs- und Genussmittel Innsbrucker Str.  18, Berlin","business_type_removed,multiple_spaces_fixed"
