id,title,address,owner,business_type,registration_info,raw_text,source_url,batch_file,startDate,endDate
business_00012,A. Wagner & Co GmbH,"Wusterhausener Str. 17, Berlin",,,,,,,1911-01-01,1935-12-31
business_00013,A. Wertheim GmbH,"und 132/137, Berlin",,,,,,,1909-01-01,1937-12-31
business_00015,A. Woitke,"Ecke Nachod Str., Berlin",,,,,,,1900-01-01,1945-12-31
business_00018,AG Adler für chemische Industrie,"Matthaikirchstr. 10, Berlin",,,,,,,1923-01-01,1939-12-31
business_00023,AMBI Lagerei und Handel-GmbH,"Segelfliederdamm 27, Berlin",,,,,,,1932-01-01,1939-12-31
business_00036,Abraham Glitzenstein,"Abraham Glitzenstein textiles and clothing Paul-Singer-Str.  97, Berlin",,,,,,,1900-01-01,1945-12-31
business_00042,Abraham Pommeranz,"Gollnowstr.  11, Berlin",,,,,,,1900-01-01,1945-12-31
business_00049,Abraham Weingold,"enburger Str. 75, Berlin",,,,,,,1916-01-01,1938-12-31
business_00052,"Abraham, Ludwig","Ludwig textiles and clothing Schöneberger Str. 15, Berlin",,,,,,,1900-01-01,1945-12-31
business_00059,Achterberg & Co Kunst- und Offsetdruckerei GmbH,"Belle-Alliance-Str. 92, Berlin",,,,,,,1928-01-01,1934-12-31
business_00060,Acker und Wald GmbH,"Weissenburgstr. 16, Berlin",,,,,,,1932-01-01,1932-12-31
business_00065,Adam & Philipsohn,"Allensteinerstr. 39, Berlin",,,,,,,1923-01-01,1936-12-31
business_00069,Adele Brody,"Adele Brody textiles and clothing Freisinger Str.  2, Berlin",,,,,,,1900-01-01,1945-12-31
business_00071,Adler,"Saarlandstr.  52, Berlin",,,,,,,1900-01-01,1945-12-31
business_00083,Adolf A. Stern,"Bischofstr. 25/26, Berlin",,,,,,,1910-01-01,1935-12-31
business_00085,Adolf Alpern,"Adolf Alpern textiles and clothing Martin-Luther-Str.  86, Berlin",,,,,,,1900-01-01,1945-12-31
business_00094,Adolf Bernstein,"Meineckestr. 24, Berlin",,,,,,,1902-01-01,1935-12-31
business_00096,Adolf Bielschowski,"Adolf Bielschowski textiles and clothing Oberlandgarten  26, Berlin",,,,,,,1900-01-01,1945-12-31
business_00098,Adolf Boese,"Alt Moabit 111, Berlin",,,,,,,1937-01-01,1937-12-31
business_00113,Adolf Feinberg,"Alte Schönhauser 46, Berlin",,,,,,,1902-01-01,1938-12-31
business_00116,Adolf Frankenstein,"Langhannsstr.  144, Berlin",,,,,,,1900-01-01,1945-12-31
business_00119,Adolf Förster,"Prenzlauer Str. 20, Berlin",,,,,,,1935-01-01,1940-12-31
business_00128,Adolf Hanau,"Dellbrückstr. 19, Berlin",,,,,,,1938-01-01,1942-12-31
business_00129,Adolf Heidemann,"Marsiliusstr. 7, Berlin",,,,,,,1925-01-01,1938-12-31
business_00137,Adolf Hojda,"Adolf Hojda textiles and clothing Berliner Allee  255, Berlin",,,,,,,1900-01-01,1945-12-31
business_00142,Adolf Kaplan,"Landsberger Str. 66/67, Berlin",,,,,,,1931-01-01,1940-12-31
business_00144,Adolf Kessel,"Adolf Kessel textiles and clothing Zorndorfer Str.  33, Berlin",,,,,,,1900-01-01,1945-12-31
business_00145,Adolf Kolatacz,"enburger Str. 72, Berlin",,,,,,,1934-01-01,1939-12-31
business_00161,"Adolf Löbl Obst, Gemüse und Südfrüchte","Zentralmarkthalle Stand 250, Berlin",,,,,,,1916-01-01,1938-12-31
business_00170,Adolf Pelz,"Unter den Linden 56, Berlin",,,,,,,1899-01-01,1939-12-31
business_00171,Adolf Pergamenter,"Möllendorfstr.  115, Berlin",,,,,,,1900-01-01,1945-12-31
business_00172,Adolf Peters,"Adolf Peters electrical goods Grünauer Str.  20, Berlin",,,,,,,1900-01-01,1945-12-31
