id,title,page,old_category,new_mainBranch,new_sectorKey,match_quality
1,E. Braun & Co. Berlin,,business,,,not_found
2,Antiquariat Martin Breslauer,,business,,,not_found
3,The Deutsche Theater,,business,,,not_found
4,Ebro Upholstery,,business,,,not_found
5,Grain Wholesalers Alfred Höxter,,business,,,not_found
6,Fröhlich & Pelz Glass – Crystal – Porcelain,,business,,,not_found
7,Theaterkunst Theatrical Supplies,,business,,,not_found
8,Egg Wholesale and Retail Traders Jacobowitz & Co.,,business,,,not_found
9,Jonass & Co. Discount Department Store,,business,,,not_found
10,Karl Kutschera's Café Wien and Zigeunerkeller,,business,,,not_found
11,"Schule Reimann, College of Applied Art",,business,,,not_found
12,Garlic Product Specialists Ruilos G.m.b.H.,,business,,,not_found
13,Eduard and Max Moses Wassermann,,business,,,not_found
14,Butter Merchants Weinberger Brothers,,business,,,not_found
15,Yva Photographic Studio,,business,,,not_found
16,Nissim Zacouto's Wholesale Carpets,,business,,,not_found
4001,A. & B. Cohn,,business,,,not_found
17,A. & B. Elkisch,,business,,,not_found
18,A. & B. Kahane,,business,,,not_found
19,A. & B. Munter's Elektro-Engros-Haus,,business,,,not_found
20,A. & B. Schlochauer Grundbesitz AG,,business,,,not_found
21,A. & H. Kovács,,business,,,not_found
22,A. & I. Schmill,,business,,,not_found
23,A. & L. Gumpert,,business,,,not_found
24,A. & Leopold Reichmann,,business,,,not_found
25,A. & M. Rosanis,,business,,,not_found
26,A. & S. Goldmann,,business,,,not_found
27,A. & S. Segall,,business,,,not_found
28,A. Ackerhalt,,business,,,not_found
29,A. Asher & Co,,business,,,not_found
30,"A. B. C. Apotheken-Bedarfs-Contor, Vertrieb chemischer und pharmazeutischer Präparate Dr. Erwin Schwarz",,business,,,not_found
31,A. B. Citroen,,business,,,not_found
32,A. Baum,,business,,,not_found
33,A. Baumert-Export,,business,,,not_found
34,A. Becker & Co,,business,,,not_found
35,A. Benver GmbH,,business,,,not_found
36,A. Bergmann & Co,,business,,,not_found
37,A. Bieber & Sohn AG,,business,,,not_found
38,A. Blumenreich GmbH,,business,,,not_found
39,A. Bodenheimer & Cie GmbH,,business,,,not_found
40,A. Bores,,business,,,not_found
41,A. Bornstein & Co,,business,,,not_found
42,A. Breslauer,,business,,,not_found
43,A. Brünn j.,,business,,,not_found
