id,title,verdict,field_with_diff,dataset_value,source_value,confidence_score,notes
business_00001,AG für Brennstoffvergasung,MATCH,(all),,,1.0,exact
business_00002,AG für Eigentumschutz,FIELD_DIFF,original_address,"Luisenstr. 31, Berlin","Luisenstr. 31b, Berlin",0.65,address_differs
business_00003,AG für Finanzierungen Commercium,MATCH,(all),,,1.0,exact
business_00004,AG für Finanzierungen am Grundstücksmarkt,MATCH,(all),,,1.0,exact
business_00005,AG für Geschäfts- und Industriebauten,MATCH,(all),,,1.0,exact
business_00006,AG für Grundkredit,MATCH,(all),,,1.0,exact
business_00007,AG für Grundstücksbeteiligungen,MATCH,(all),,,1.0,exact
business_00008,AG für Grundstücksverwaltung und Außenhandel,MATCH,(all),,,1.0,exact
business_00009,AG für Handel und Grundbesitz,MATCH,(all),,,1.0,exact
business_00010,AG für Konsortialbeteiligung,MATCH,(all),,,1.0,exact
business_00011,A. Velisch & Hochgesang,MATCH,(all),,,1.0,exact
business_00012,A. Wagner & Co GmbH,MATCH,(all),,,1.0,exact
business_00013,A. Wertheim GmbH,FIELD_DIFF,original_address,"und 132/137, Berlin","Leipziger Str. 126/130 und 132/137, Berlin",0.65,address_differs
business_00014,A. Wertheim Special-Verkauf GmbH,MATCH,(all),,,1.0,exact
business_00015,A. Woitke,MATCH,(all),,,1.0,exact
business_00016,A. Wolff & Co Textil-Gelegenheitskäufe KG,MATCH,(all),,,1.0,exact
business_00017,A. Zuntz sel. Wwe.,MATCH,(all),,,1.0,exact
business_00018,AG Adler für chemische Industrie,MATCH,(all),,,1.0,exact
business_00019,AG Johannes Jeserich,MATCH,(all),,,1.0,exact
business_00020,AG für Biervertrieb,FIELD_DIFF,original_address,"Möckernstraße 118, Berlin","Tempelhofer Ufer 32, Berlin Möckernstraße 118, Berlin",0.65,address_differs
business_00021,AG für Landwirtschaft und Industrie,FIELD_DIFF,original_address,"Landgrafenstr. 18, Berlin","Landgrafenstr. 18a, Berlin",0.65,address_differs
business_00022,AG für metallurgische Produkte,MATCH,(all),,,1.0,exact
business_00023,AMBI Lagerei und Handel-GmbH,MATCH,(all),,,1.0,exact
business_00024,Abels Schokolade GmbH,MATCH,(all),,,1.0,exact
business_00025,Abr. Schmidt,MATCH,(all),,,1.0,exact
business_00026,Abraham Antmann,MATCH,(all),,,1.0,exact
business_00027,Abraham Auser,MATCH,(all),,,1.0,exact
business_00028,Abraham Ball,MATCH,(all),,,1.0,exact
business_00029,Abraham Berenblum,MATCH,(all),,,1.0,exact
business_00030,Abraham Brettschneider,MATCH,(all),,,1.0,exact
business_00031,Abraham E. Schimmel,MATCH,(all),,,1.0,exact
business_00032,Abraham Ebel,MATCH,(all),,,1.0,exact
business_00033,Abraham Feder,MATCH,(all),,,1.0,exact
business_00034,Abraham Friedberg,MATCH,(all),,,1.0,exact
business_00035,Abraham Frommer,MATCH,(all),,,1.0,exact
business_00036,Abraham Glitzenstein,MATCH,(all),,,1.0,exact
business_00037,Abraham Herschaft,MATCH,(all),,,1.0,exact
business_00038,Abraham J. Grebler,MATCH,(all),,,1.0,exact
business_00039,Abraham Joost,MATCH,(all),,,1.0,exact
business_00040,Abraham Liß,MATCH,(all),,,1.0,exact
business_00041,Abraham Pfeffer,MATCH,(all),,,1.0,exact
business_00042,Abraham Pommeranz,MATCH,(all),,,1.0,exact
business_00043,Abraham Schaul,MATCH,(all),,,1.0,exact
business_00044,Abraham Schlesinger,MATCH,(all),,,1.0,exact
business_00045,Abraham Schäfer,MATCH,(all),,,1.0,exact
business_00046,Abraham Stein,MATCH,(all),,,1.0,exact
business_00047,Abraham Stock,MATCH,(all),,,1.0,exact
business_00048,Abraham Weber,MATCH,(all),,,1.0,exact
business_00049,Abraham Weingold,FIELD_DIFF,original_address,"enburger Str. 75, Berlin","Weißenburger Str. 75, Berlin",0.65,address_differs
business_00050,Abraham Wreschner,MATCH,(all),,,1.0,exact
business_00051,Abraham Zucker,MATCH,(all),,,1.0,exact
business_00052,"Abraham, Ludwig",MATCH,(all),,,1.0,exact
business_00053,"Abraham, Ralph",MATCH,(all),,,1.0,exact
business_00054,Abrahamowsky & Wagner,MATCH,(all),,,1.0,exact
business_00055,Abram Dreisiuk,MATCH,(all),,,1.0,exact
business_00056,Abram Salwe,MATCH,(all),,,1.0,exact
business_00057,Abé Ringer & Co,MATCH,(all),,,1.0,exact
business_00058,Achtentuch & Grünberg,MATCH,(all),,,1.0,exact
business_00059,Achterberg & Co Kunst- und Offsetdruckerei GmbH,MATCH,(all),,,1.0,exact
business_00060,Acker und Wald GmbH,MATCH,(all),,,1.0,exact
business_00061,Ad. Goldschmidt,FIELD_DIFF,original_address,"Friedrichstr. 45, Berlin","Neue Friedrichstr. 45, Berlin",0.65,address_differs
business_00062,Adalbert Friedland,MATCH,(all),,,1.0,exact
business_00063,Adalbert Trobach & Co Nachf.,MATCH,(all),,,1.0,exact
business_00064,Adalbert-Apotheke Walter Jacoby,MATCH,(all),,,1.0,exact
business_00065,Adam & Philipsohn,MATCH,(all),,,1.0,exact
business_00066,Adam's Cigarrenfabriken,MATCH,(all),,,1.0,exact
business_00067,Adebek Auskunftei GmbH,MATCH,(all),,,1.0,exact
business_00068,Adedap Julius Gold,MATCH,(all),,,1.0,exact
business_00069,Adele Brody,MATCH,(all),,,1.0,exact
business_00070,"Ader, Rosa, geb. Weinberg",MATCH,(all),,,1.0,exact
business_00071,Adler,MATCH,(all),,,1.0,exact
business_00072,Adler & Baranski,FIELD_DIFF,original_address,"Charlottenstr. 22, Berlin","Charlottenstr. 22a, Berlin",0.65,address_differs
business_00073,Adler & Oppenheimer AG,FIELD_DIFF,original_address,"Friedrichstr. 2, Berlin","Neue Friedrichstr. 2, Berlin",0.65,address_differs
business_00074,Adler & Oppenheimer GmbH,MATCH,(all),,,1.0,exact
business_00075,Adler Apotheke am Weddingplatz Dr. Ludwig Busse,MATCH,(all),,,1.0,exact
business_00076,Adler-Apotheke Dr. Arnold Voß Hohenschönhausen,MATCH,(all),,,1.0,exact
business_00077,Adler-Apotheke Siegfried Schaefer,MATCH,(all),,,1.0,exact
business_00078,Adler-Apotheke Zehlendorf Dr. Georg Plack,MATCH,(all),,,1.0,exact
business_00079,"Adler-Drogerie, Herbert Weiß",MATCH,(all),,,1.0,exact
business_00080,Adler-Leuchten Josef Adler,MATCH,(all),,,1.0,exact
business_00081,Adler-Maschinenfabrik Karl Frühling,MATCH,(all),,,1.0,exact
business_00082,Admiral Apotheke Siegfried Fink,MATCH,(all),,,1.0,exact
business_00083,Adolf A. Stern,MATCH,(all),,,1.0,exact
business_00084,Adolf A. Weinberg,MATCH,(all),,,1.0,exact
business_00085,Adolf Alpern,MATCH,(all),,,1.0,exact
business_00086,Adolf Apfelbaum,MATCH,(all),,,1.0,exact
