business_name,owner_name,address,main_category,subcategory,detailed_subcategory,founded_year,closed_year,liquidation_date,registration_info,additional_details,confidence_score
A. & Leopold Reichmann,Leopold Reichmann,"Brunnenstr. 185, Berlin",trade,Trade,& Leopold Reichmann metals and metal goods,1903,1940,,Eingetragen im Handelsregister/ Gründung 1903 Erloschen 1940 Brunnenstr; Gründung 1903 Erloschen 1940 Brunnenstr; Erloschen 1940 Brunnenstr,,0.9
A. & M. Rosanis,A. & M. Rosanis,"Kurstr. 34/35, Berlin",trade,Trade,Rosanis textiles and clothing,1922,1935,,Eingetragen im Handelsregister/ Gründung 1922 Erloschen 1935 Kurstr; Gründung 1922 Erloschen 1935 Kurstr; Erloschen 1935 Kurstr,,0.9
A. & S. Goldmann,A. & S. Goldmann,"Langenbeckstr. 1, Berlin",trade,Trade,Goldmann other,1908,1938,,Eingetragen im Handelsregister/ Gründung 1908 Erloschen 1938 Langenbeckstr; Gründung 1908 Erloschen 1938 Langenbeckstr; Erloschen 1938 Langenbeckstr,,0.9
A. & S. Segall,A. & S. Segall,"Kommandantenstr. 20/21, Berlin",,05.05.1939,Segall textiles and clothing,1901,1939,,Eingetragen im Handelsregister/ Gründung 1901 Besitzübernahme 1939 Kommandantenstr; Gründung 1901 Besitzübernahme 1939 Kommandantenstr; Besitzübernahme 1939 Kommandantenstr,,0.9
A. Ackerhalt,A. Ackerhalt,"Königstr.  11, Berlin",,,,,,,,,0.9
A. Alves Augusta Apotheke,A. Alves Augusta Apotheke,"22, Berlin",,05.04.1937,Alves Augusta Apotheke pharmacies,1902,1937,,Eingetragen im Handelsregister/ Gründung 1902 Besitzübernahme 1937 Königin-Augusta-Str; Gründung 1902 Besitzübernahme 1937 Königin-Augusta-Str; Besitzübernahme 1937 Königin-Augusta-Str,Business type: Apotheke,0.9
A. Asher & Co,A. Asher & Co,"Behrenstr. 17, Berlin",,26.04.1938,Asher & Co books and art,1900,1933,,Eingetragen im Handelsregister/ Gründung 1900 Besitzübernahme 1933 Behrenstr; Gründung 1900 Besitzübernahme 1933 Behrenstr; Besitzübernahme 1933 Behrenstr,,0.9
"A. B. C. Apotheken-Bedarfs-Contor, Vertrieb chemischer und pharmazeutischer Präparate Dr. Erwin Schwarz",Präparate Dr,"Friedrichstr. 19, Berlin",trade,Trade,Erwin Schwarz chemicals and pharmaceuticals,1920,1939,,Eingetragen im Handelsregister/ Gründung 1920 Erloschen 1939 Friedrichstr; Gründung 1920 Erloschen 1939 Friedrichstr; Erloschen 1939 Friedrichstr,,0.9
A. B. Citroen,Werderscher Markt,"Werderscher Markt 7, Berlin",,07.02.1933,Citroen textiles and clothing,1901,1940,,"Eingetragen im Handelsregister/ Gründung 1901 Erloschen 1940 Werderscher Markt 7,  Berlin; Gründung 1901 Erloschen 1940 Werderscher Markt 7,  Berlin; Erloschen 1940 Werderscher Markt 7,  Berlin",,0.9
A. Baum,A. Baum,"Ritterstr. 9/10, Berlin",,10.08.1940,metals and metal goods,1904,1938,,Eingetragen im Handelsregister/ Gründung 1904 Besitzübernahme 1938 Ritterstr; Gründung 1904 Besitzübernahme 1938 Ritterstr; Besitzübernahme 1938 Ritterstr,,0.9
A. Baumert-Export,A. Baumert-Export,"128, Berlin",trade,Trade,Baumert-Export chemicals and pharmaceuticals,1920,1938,,Eingetragen im Handelsregister/ Gründung 1920 Besitzübernahme 1938 Köpenicker Str; Gründung 1920 Besitzübernahme 1938 Köpenicker Str; Besitzübernahme 1938 Köpenicker Str,,0.9
A. Becker & Co,A. Becker & Co,"Burgstr. 29, Berlin",trade,Trade,Becker & Co Nahrungs- und Genussmittel,1913,1936,,Eingetragen im Handelsregister/ Gründung 1913 Erloschen 1936 Burgstr; Gründung 1913 Erloschen 1936 Burgstr; Erloschen 1936 Burgstr,,0.9
A. Benver GmbH,A. Benver GmbH,"89, Berlin",trade,Trade,Benver GmbH metals and metal goods,1921,1939,,Eingetragen im Handelsregister/ Gründung 1921 Erloschen 1939 Bornholmer Str; Gründung 1921 Erloschen 1939 Bornholmer Str; Erloschen 1939 Bornholmer Str,Company types: GmbH,0.9
A. Bergmann & Co,A. Bergmann & Co,"56, Berlin",industry,Industry,"Bergmann & Co machines, motor vehicles & technical articles",1920,,,Eingetragen im Handelsregister/ Gründung 1920 Potsdamer Str; Gründung 1920 Potsdamer Str,,0.9
A. Bieber & Sohn AG,A. Bieber & Sohn AG,"Königstr. 40, Berlin",trade,Trade,Bieber & Sohn AG textiles and clothing,1922,1933,1930-12-31,Eingetragen im Handelsregister/ Gründung 1922 Liquidation ab 1930-12-31 00:00:00 Erloschen 1933 Königstr; Gründung 1922 Liquidation ab 1930-12-31 00:00:00 Erloschen 1933 Königstr; Erloschen 1933 Königstr; Liquidation ab 1930-12-31 00:00:00 Erloschen 1933 Königstr,Company types: AG,0.9
A. Blumenreich GmbH,A. Blumenreich GmbH,"Schöneberger Ufer 44, Berlin",trade,Trade,Blumenreich GmbH books and art,1919,1939,,"Eingetragen im Handelsregister/ Gründung 1919 Erloschen 1939 Schöneberger Ufer 44,  Berlin; Gründung 1919 Erloschen 1939 Schöneberger Ufer 44,  Berlin; Erloschen 1939 Schöneberger Ufer 44,  Berlin",Company types: GmbH,0.9
A. Bodenheimer & Cie GmbH,A. Bodenheimer & Cie GmbH,"Stresemannstr. 6, Berlin",industry,Industry,metals and metal goods,1925,1932,,Eingetragen im Handelsregister/ Gründung 1925 Erloschen 1932 Stresemannstr; Gründung 1925 Erloschen 1932 Stresemannstr; Erloschen 1932 Stresemannstr,Company types: GmbH,0.9
A. Bores,A. Bores,"Keibelstr.  5, Berlin",,,,,,,,,0.9
A. Bornstein & Co,A. Bornstein & Co,"Spichernstr. 7, Berlin",,22.06.1937,Bornstein & Co chemicals and pharmaceuticals,1925,1938,,Eingetragen im Handelsregister/ Gründung 1925 Erloschen 1938 Spichernstr; Gründung 1925 Erloschen 1938 Spichernstr; Erloschen 1938 Spichernstr,,0.9
A. Breslauer,A. Breslauer,"5, Berlin",services,Services,Breslauer restaurants,1900,1933,,Eingetragen im Handelsregister/ Gründung 1900 Erloschen 1933 Marburger Str; Gründung 1900 Erloschen 1933 Marburger Str; Erloschen 1933 Marburger Str,,0.9
A. & B. Cohn,A. & B. Cohn,"Wallstr. 9/10, Berlin",,01.07.1931,textiles and clothing,1931,1937,,Eingetragen im Handelsregister/ Gründung 1931 Erloschen 1937 Wallstr; Gründung 1931 Erloschen 1937 Wallstr; Erloschen 1937 Wallstr,,0.9
A. & B. Elkisch,A. & B. Elkisch,"Friedrichstr. 44, Berlin",trade,Trade,Elkisch textiles and clothing,1870,1938,1930-12-30,Eingetragen im Handelsregister/ Gründung 1870 Liquidation ab 1930-12-30 00:00:00 Erloschen 1938 Neue Friedrichstr; Gründung 1870 Liquidation ab 1930-12-30 00:00:00 Erloschen 1938 Neue Friedrichstr; Erloschen 1938 Neue Friedrichstr; Liquidation ab 1930-12-30 00:00:00 Erloschen 1938 Neue Friedrichstr,,0.9
A. & B. Kahane,A. & B. Kahane,"Büsingstr. 6, Berlin",,09.02.1934,publishing and printing,1921,1921,,Eingetragen im Handelsregister/ Gründung 1921 Büsingstr; Gründung 1921 Büsingstr,,0.9
