primary_name,alternative_names,business_type,business_category,registration_date,takeover_date,liquidation_date,other_dates,address,latitude,longitude,geocode_confidence,page_number
A. & B. Cohn,A. & B. Cohn|A. & B. Cohn (01.07.1931),textiles and clothing,Trade,1931,,,Eingetragen im Handelsregister/ Gründung 1931Erloschen 1937,"Wallstr. 9/10,  Berlin",52.5112193,13.4058639,0.05342208819714653,1
A. & B. Elkisch,A. & B. Elkisch,textiles and clothing,Trade,1870,,,Eingetragen im Handelsregister/ Gründung 1870Liquidation ab 1930-12-30 00:00:00Erloschen 1938,"Neue Friedrichstr. 44,  Berlin",52.5214194,13.4029807,0.20759174723523172,1
A. & B. Kahane,A. & B. Kahane|A. & B. Kahane (09.02.1934),publishing and printing,Handicraft,1921,,,Eingetragen im Handelsregister/ Gründung 1921,"Büsingstr. 6,  Berlin",52.4665423,13.3266454,8.875486381318407e-05,1
A. & B. Kuttner,A. & B. Kuttner,leather and shoes,Trade,1904,,,Eingetragen im Handelsregister/ Gründung 1904Besitzübernahme 1938Erloschen 1938,"Lothringer Str. 81,  Berlin",,,,1
A. & B. Munter's Elektro-Engros-Haus,A. & B. Munter's Elektro-Engros-Haus,electrical goods,Trade,1928,,,Eingetragen im Handelsregister/ Gründung 1928Erloschen 1940,"Courbièrestr. 16,  Berlin",52.5017319,13.3505469,8.875486381318407e-05,1
A. & B. Schlochauer Grundbesitz AG,A. & B. Schlochauer Grundbesitz AG,,,1923,,,Eingetragen im Handelsregister/ Gründung 1923Liquidation ab 1932-03-17 00:00:00Erloschen 1932,"Bismarckstr. 5,  Berlin",52.4180929,13.1722668,8.875486381318407e-05,1
A. & H. Bukofzer,A. & H. Bukofzer,textiles and clothing,Industry,1922,,,Eingetragen im Handelsregister/ Gründung 1922Liquidation ab 1939-01-31 00:00:00Erloschen 1939,"Probststr. 10/11,  Berlin",,,,1
A. & H. Kovács,A. & H. Kovács,textiles and clothing,Handicraft,1924,,,Eingetragen im Handelsregister/ Gründung 1924Erloschen 1932,"Kurfürstendamm 40/41,  Berlin",52.5035832,13.3298936,0.4914112718388304,1
A. & I. Schmill,A. & I. Schmill|A. & I. Schmill,other,Trade,1910,,,Eingetragen im Handelsregister/ Gründung 1910Erloschen 1939,"Neue Königstr. 61/62,  Berlin",52.5277896,13.4234401,0.28651547523719245,1
A. & L. Gumpert,A. & L. Gumpert,Nahrungs- und Genussmittel,Trade,1927,,,Eingetragen im Handelsregister/ Gründung 1927Erloschen 1941,"Sybelstr. 43,  Berlin",52.5018158,13.2997227,8.875486381318407e-05,1
A. & Leopold Reichmann,A. & Leopold Reichmann,metals and metal goods,Trade,1903,,,Eingetragen im Handelsregister/ Gründung 1903Erloschen 1940,"Brunnenstr. 185,  Berlin",52.53124,13.3988991,8.875486381318407e-05,2
A. & M. Rosanis,A. & M. Rosanis,textiles and clothing,Trade,1922,,,Eingetragen im Handelsregister/ Gründung 1922Erloschen 1935,"Kurstr. 34/35,  Berlin",52.5471732,13.2077354,0.05342208819714653,2
A. & S. Goldmann,A. & S. Goldmann,other,Trade,1908,,,Eingetragen im Handelsregister/ Gründung 1908Erloschen 1938,"Langenbeckstr. 1,  Berlin",52.4925443,13.614358,8.875486381318407e-05,2
A. & S. Segall,A. & S. Segall (05.05.1939)|Erich Bernd Reichow vormals A. & S. Segall (15.06.1940)|A. & S. Segall,textiles and clothing,Industry,1901,,,Eingetragen im Handelsregister/ Gründung 1901Besitzübernahme 1939,"Kommandantenstr. 20/21,  Berlin",52.4386254,13.2932509,0.05342208819714653,2
A. Ackerhalt,,,,,,,,"Neue Königstr.  11,  Berlin",52.5277896,13.4234401,0.28651547523719245,2
A. Alves Augusta Apotheke,A. Alves Augusta Apotheke (05.04.1937)|A. Alves Augusta Apotheke,pharmacies,Trade,1902,,,Eingetragen im Handelsregister/ Gründung 1902Besitzübernahme 1937,"Königin-Augusta-Str. 22,  Berlin",,,,2
A. Asher & Co,Adolf Geipel vormals A. Asher & Co (26.04.1938)|Adolf Geipel (14.07.1941)|A. Asher & Co (03.07.1933)|A. Asher & Co,books and art,Trade,1900,,,Eingetragen im Handelsregister/ Gründung 1900Besitzübernahme 1933,"Behrenstr. 17,  Berlin",52.5148529,13.380006,0.3330873891249597,2
"A. B. C. Apotheken-Bedarfs-Contor, Vertrieb chemischer und pharmazeutischer Präparate Dr. Erwin Schwarz","A. B. C. Apotheken-Bedarfs-Contor, Vertrieb chemischer und pharmazeutischer Präparate Dr. Erwin Schwarz",chemicals and pharmaceuticals,Trade,1920,,,Eingetragen im Handelsregister/ Gründung 1920Erloschen 1939,"Friedrichstr. 19,  Berlin",52.5029187,13.3913027,8.875486381318407e-05,2
A. B. Citroen,A. B. Citroen (07.02.1933)|A. B. Citroen,textiles and clothing,Trade,1901,,,Eingetragen im Handelsregister/ Gründung 1901Erloschen 1940,"Werderscher Markt 7,  Berlin",52.5155992,13.398796,0.28497987882587833,2
A. Baum,A. Baum Inh. Dr. Erich Hering (10.08.1940)|A. Baum (22.09.1938)|A. Baum|Erich Hering (28.10.1940),metals and metal goods,Trade,1904,,,Eingetragen im Handelsregister/ Gründung 1904Besitzübernahme 1938,"Ritterstr. 9/10,  Berlin",52.5013605,13.411976,0.15464506754860552,2
A. Baumert-Export,A. Baumert-Export,chemicals and pharmaceuticals,Trade,1920,,,Eingetragen im Handelsregister/ Gründung 1920Besitzübernahme 1938,"Köpenicker Str. 128,  Berlin",52.4213723,13.5035076,8.875486381318407e-05,3
A. Becker & Co,A. Becker & Co,Nahrungs- und Genussmittel,Trade,1913,,,Eingetragen im Handelsregister/ Gründung 1913Erloschen 1936,"Burgstr. 29,  Berlin",52.5220276,13.4006284,8.875486381318407e-05,3
A. Benver GmbH,A. Benver GmbH,metals and metal goods,Trade,1921,,,Eingetragen im Handelsregister/ Gründung 1921Erloschen 1939,"Bornholmer Str. 89,  Berlin",52.5535321,13.4117641,8.875486381318407e-05,3
A. Bergmann & Co,A. Bergmann & Co,"machines, motor vehicles & technical articles",Industry,1920,,,Eingetragen im Handelsregister/ Gründung 1920,"Potsdamer Str. 56,  Berlin",52.4363936,13.3007191,8.875486381318407e-05,3
A. Bieber & Sohn AG,A. Bieber & Sohn AG,textiles and clothing,Trade,1922,,,Eingetragen im Handelsregister/ Gründung 1922Liquidation ab 1930-12-31 00:00:00Erloschen 1933,"Königstr. 40,  Berlin",52.4336251,13.253396,8.875486381318407e-05,3
A. Blumenreich GmbH,A. Blumenreich GmbH,books and art,Trade,1919,,,Eingetragen im Handelsregister/ Gründung 1919Erloschen 1939,"Schöneberger Ufer 44,  Berlin",52.5054916,13.3698445,0.05342208819714653,3
